case,closing_speed_m_s,k,projectile_kg,projectile_temperature_k,projectile_density_kg_m3,injection_speed_m_s,stored_water_temperature_k,stored_water_pressure_pa,liquid_energy_j_kg,energy_offset_j_kg,reference_match_temperature_k,reference_match_density_kg_m3,coolprop_version,mixed_density_kg_m3,merge_velocity_m_s,merge_heat_j,total_input_energy_j,mixed_internal_energy_j_kg,temperature_k,pressure_pa,bond_energy_j_kg,bond_fraction,ionization_energy_j_kg,thermal_energy_j_kg
3-synodic,45580.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,5064.444444444444,23083737777.77778,25600402868.57169,100955269.53933097,16705.49362248405,24510979.364388205,50865058.08929788,0.9985115191914963,13278795.316980474,36811416.13305262
3-synodic,45580.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,5064.444444444444,23083737777.77778,25600402868.57169,100955269.53933097,19279.589797997003,275719440.4307012,50403507.955024526,0.9894510139435273,8822002.943052698,41729758.641253754
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,4797.894736842105,23235604473.68421,25576482001.265335,96180553.57873493,13947.05007649411,2057780.2257964518,50927763.542921655,0.9997424647582849,14379699.901192553,30873090.134620726
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,4797.894736842105,23235604473.68421,25576482001.265335,96180553.57873493,15997.542972039559,23186682.062523417,50852843.884553716,0.9982717470454898,10497894.571503218,34829815.122678
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,4797.894736842105,23235604473.68421,25576482001.265335,96180553.57873493,18242.458841430154,258168004.7860985,50317071.40955661,0.9877542128472362,6731518.056375188,39131964.11280313
3-synodic,45580.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,4558.0,23372284500.0,25552561133.958984,91822562.53583594,13457.917731065278,1960816.595316736,50925601.24016602,0.9997000174616418,11477559.564268975,29419401.731400937
3-synodic,45580.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,4558.0,23372284500.0,25552561133.958984,91822562.53583594,15275.751497478108,21901745.78102262,50837505.53337677,0.9979706460360562,8076837.559180597,32908219.443278573
3-synodic,45580.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,4558.0,23372284500.0,25552561133.958984,91822562.53583594,17207.315328359553,241245078.60095876,50207284.0248442,0.9855990208074513,4979362.1456440855,36635916.36534765
3-synodic,45580.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,4143.636363636364,23608368181.81818,25504719399.34628,84159573.02241622,12413.449855611292,1770689.722058289,50919272.97732868,0.9995757898764013,6670703.95387342,26569596.09121412
3-synodic,45580.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,4143.636363636364,23608368181.81818,25504719399.34628,84159573.02241622,13750.79082325599,19368901.674311005,50790080.70655822,0.997039668314752,4243856.238357713,29125636.077500284
3-synodic,45580.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,4143.636363636364,23608368181.81818,25504719399.34628,84159573.02241622,15131.997484649604,208706779.88338694,49869711.85726194,0.9789722772127114,2413376.7800707566,31876484.385083523
3-synodic,56530.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,9421.666666666666,33287926041.666664,39720234322.409805,220417660.76050982,21295.54198105711,4353668.8809548225,50939566.96913378,0.9999741730759681,104172048.30517277,65306045.48620328
3-synodic,56530.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,9421.666666666666,33287926041.666664,39720234322.409805,220417660.76050982,26936.958884364096,52714121.473074764,50930024.94650977,0.9997868574635543,90405738.74239033,79081897.0716097
3-synodic,56530.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,9421.666666666666,33287926041.666664,39720234322.409805,220417660.76050982,34978.26284257576,644662282.3923053,50840801.776945494,0.9980353532692152,72747692.4687093,96829166.51485501
